Date,Open,High,Low,Close,Adj Close,Volume
2013-12-12,25.049999,25.049999,25.007000,25.040001,7.580753,3200
2013-12-13,25.030001,25.030001,24.990000,25.020000,7.574699,1600
2013-12-16,25.100000,25.100000,25.040001,25.049999,7.583784,1600
2013-12-17,25.070000,25.070000,25.040001,25.070000,7.589840,13200
2013-12-18,25.040001,25.040001,25.030001,25.030001,7.577731,5000
2013-12-19,25.129999,25.129999,25.059999,25.059999,7.586809,1300
2013-12-20,25.139999,25.370001,25.139999,25.360001,7.677636,6600
2013-12-23,25.490000,25.500000,25.490000,25.500000,7.720017,5700
2013-12-24,25.520000,25.610001,25.480000,25.480000,7.713965,700
2013-12-26,25.510000,25.510000,25.430000,25.459999,7.707910,1500
2013-12-27,25.510000,25.510000,25.500000,25.500000,7.720017,900
2013-12-30,25.469999,25.490000,25.459999,25.469999,7.710938,2000
2013-12-31,25.540001,25.540001,25.540001,25.540001,7.732125,300
2014-01-02,25.440001,25.440001,25.440001,25.440001,7.701852,300
2014-01-03,25.420000,25.420000,25.420000,25.420000,7.695799,300
2014-01-06,25.389999,25.389999,25.389999,25.389999,7.686716,600
2014-01-07,25.520000,25.520000,25.520000,25.520000,7.726074,100
2014-01-08,25.580000,25.580000,25.570000,25.570000,7.741210,1700
2014-01-09,25.469999,25.469999,25.469999,25.469999,7.710938,100
2014-01-10,25.480000,25.500000,25.480000,25.490000,7.716992,1300
2014-01-13,25.580000,25.580000,25.440001,25.440001,7.701852,2300
2014-01-14,25.570000,25.610001,25.559999,25.610001,7.753315,5100
2014-01-15,25.750000,25.750000,25.639999,25.670000,7.771481,6500
2014-01-16,25.690001,25.700001,25.639999,25.700001,7.780568,2900
2014-01-17,25.670000,25.770000,25.650000,25.709999,7.783597,5600
2014-01-21,25.740000,25.740000,25.660000,25.719999,7.786620,2200
2014-01-22,25.530001,25.540001,25.530001,25.530001,7.807106,1100
2014-01-23,25.530001,25.530001,25.430000,25.430000,7.776533,1200
2014-01-24,25.299999,25.299999,25.299999,25.299999,7.736778,400
2014-01-27,25.120001,25.120001,24.850000,25.070000,7.666444,4100
2014-01-28,24.959999,24.959999,24.879999,24.930000,7.623632,600
2014-01-29,24.860001,24.870001,24.860001,24.860001,7.602226,8400
2014-01-30,25.010000,25.209999,25.010000,25.180000,7.700080,1300
2014-01-31,25.120001,25.129999,25.120001,25.129999,7.684787,200
2014-02-03,24.930000,24.930000,24.590000,24.590000,7.519660,1200
2014-02-04,24.809999,24.809999,24.809999,24.809999,7.586934,100
2014-02-05,24.799999,24.799999,24.570000,24.750000,7.568585,1100
2014-02-06,24.799999,25.100000,24.799999,25.049999,7.660327,9500
2014-02-07,25.219999,25.219999,25.219999,25.219999,7.712314,100
2014-02-10,25.430000,25.459999,25.430000,25.459999,7.785704,1600
2014-02-11,25.469999,25.700001,25.469999,25.700001,7.859097,600
2014-02-12,25.719999,25.719999,25.719999,25.719999,7.865212,100
2014-02-13,25.719999,25.719999,25.709999,25.709999,7.862158,800
2014-02-14,25.770000,25.780001,25.750000,25.780001,7.883563,1500
2014-02-18,25.750000,25.750000,25.750000,25.750000,7.874387,500
2014-02-19,25.820000,25.820000,25.820000,25.820000,7.895797,1100
2014-02-20,25.799999,25.799999,25.799999,25.799999,7.889677,1000
2014-02-21,25.820000,25.830000,25.820000,25.830000,7.898853,2000
2014-02-24,25.820000,25.820000,25.820000,25.820000,7.895797,1600
2014-02-25,25.770000,25.770000,25.770000,25.770000,7.880503,200
2014-02-26,25.620001,25.620001,25.540001,25.540001,7.869103,500
2014-02-27,25.670000,25.670000,25.670000,25.670000,7.909159,200
2014-02-28,25.799999,25.799999,25.799999,25.799999,7.949212,700
2014-03-03,25.570000,25.570000,25.570000,25.570000,7.878346,300
2014-03-04,25.750000,25.799999,25.750000,25.760000,7.936887,2000
2014-03-05,25.750000,25.790001,25.750000,25.780001,7.943046,500
2014-03-06,25.870001,25.870001,25.799999,25.830000,7.958457,5100
2014-03-07,25.920000,25.920000,25.920000,25.920000,7.986189,100
2014-03-10,25.780001,25.780001,25.770000,25.780001,7.943046,300
2014-03-11,25.850000,25.850000,25.770000,25.770000,7.939968,1000
2014-03-12,25.840000,25.840000,25.809999,25.809999,7.952293,1100
2014-03-13,25.820000,25.820000,25.600000,25.600000,7.887591,2600
2014-03-14,25.559999,25.559999,25.559999,25.559999,7.875267,100
2014-03-17,25.750000,25.750000,25.750000,25.750000,7.933804,1000
2014-03-18,25.750000,25.950001,25.750000,25.950001,7.995424,1200
2014-03-19,25.820000,25.870001,25.820000,25.870001,7.970777,2200
2014-03-20,25.879999,25.879999,25.879999,25.879999,7.973863,1000
2014-03-21,25.940001,26.000000,25.700001,25.719999,7.924562,119700
2014-03-24,25.520000,25.520000,25.500000,25.500000,7.856781,400
2014-03-25,25.490000,25.490000,25.490000,25.490000,7.853698,400
2014-03-26,25.360001,25.360001,25.090000,25.090000,7.789431,700
2014-03-27,25.000000,25.000000,25.000000,25.000000,7.761491,900
2014-03-28,25.100000,25.100000,25.100000,25.100000,7.792536,200
2014-03-31,25.190001,25.190001,25.190001,25.190001,7.820479,300
2014-04-01,25.379999,25.379999,25.370001,25.379999,7.879467,700
2014-04-02,25.570000,25.570000,25.500000,25.549999,7.932246,1200
2014-04-03,25.590000,25.590000,25.379999,25.379999,7.879467,3000
2014-04-04,25.350000,25.350000,24.940001,24.940001,7.742863,700
2014-04-07,24.790001,24.799999,24.480000,24.480000,7.600052,7400
2014-04-08,24.690001,24.860001,24.660000,24.850000,7.714922,2700
2014-04-09,25.219999,25.219999,25.219999,25.219999,7.829790,1000
2014-04-10,24.580000,24.580000,24.580000,24.580000,7.631097,300
2014-04-11,24.440001,24.469999,24.309999,24.469999,7.596947,600
2014-04-14,24.350000,24.400000,24.270000,24.320000,7.550378,1300
2014-04-15,24.100000,24.420000,24.100000,24.420000,7.581422,1100
2014-04-16,24.639999,24.639999,24.629999,24.629999,7.646624,6200
2014-04-17,24.740000,24.740000,24.740000,24.740000,7.680774,200
2014-04-21,24.879999,24.930000,24.850000,24.889999,7.727339,13000
2014-04-22,24.990000,25.030001,24.920000,24.990000,7.758388,4700
2014-04-23,24.549999,24.700001,24.549999,24.650000,7.734227,1700
2014-04-24,24.730000,24.760000,24.700001,24.760000,7.768738,300
2014-04-25,24.650000,24.650000,24.650000,24.650000,7.734227,400
2014-04-28,24.660000,24.670000,24.469999,24.629999,7.727956,1700
2014-04-29,24.700001,24.770000,24.700001,24.770000,7.771880,400
2014-04-30,24.740000,24.740000,24.740000,24.740000,7.762467,200
2014-05-01,24.959999,24.959999,24.959999,24.959999,7.831489,100
2014-05-02,24.930000,24.930000,24.790001,24.790001,7.778152,500
2014-05-05,24.790001,24.790001,24.790001,24.790001,7.778152,0
2014-05-06,24.820000,24.820000,24.820000,24.820000,7.787565,200
2014-05-07,24.750000,24.750000,24.750000,24.750000,7.765599,200
2014-05-08,24.860001,24.860001,24.860001,24.860001,7.800122,1000
2014-05-09,24.770000,24.770000,24.770000,24.770000,7.771880,500
2014-05-12,25.110001,25.110001,24.940001,24.940001,7.825216,200
2014-05-13,24.959999,24.959999,24.959999,24.959999,7.831489,2400
2014-05-14,25.020000,25.020000,24.969999,24.969999,7.834634,1700
2014-05-15,25.010000,25.010000,24.980000,24.980000,7.837770,6100
2014-05-16,25.020000,25.020000,25.020000,25.020000,7.850322,700
2014-05-19,24.610001,25.340000,24.610001,25.299999,7.938171,700
2014-05-20,25.160000,25.240000,25.090000,25.240000,7.919347,900
2014-05-21,24.959999,25.000000,24.900000,25.000000,7.920931,1500
2014-05-22,25.030001,25.049999,25.000000,25.049999,7.936774,700
2014-05-23,25.049999,25.080000,25.030001,25.080000,7.946277,1700
2014-05-27,25.100000,25.100000,25.080000,25.080000,7.946277,900
2014-05-28,25.150000,25.150000,25.070000,25.120001,7.958950,15300
2014-05-29,25.150000,25.150000,25.110001,25.110001,7.955783,400
2014-05-30,25.070000,25.070000,25.070000,25.070000,7.943106,500
2014-06-02,25.070000,25.150000,25.070000,25.150000,7.968459,2400
2014-06-03,25.150000,25.150000,25.150000,25.150000,7.968459,200
2014-06-04,25.160000,25.180000,25.150000,25.150000,7.968459,1600
2014-06-05,25.150000,25.209999,25.150000,25.190001,7.981130,3100
2014-06-06,25.250000,25.250000,25.129999,25.200001,7.984296,2000
2014-06-09,25.200001,25.219999,25.160000,25.160000,7.971626,1500
2014-06-10,25.190001,25.200001,25.180000,25.200001,7.984296,3500
2014-06-11,25.400000,25.400000,25.180000,25.180000,7.977959,1600
2014-06-12,25.209999,25.209999,25.209999,25.209999,7.987463,500
2014-06-13,25.170000,25.209999,25.170000,25.209999,7.987463,900
2014-06-16,25.180000,25.190001,25.180000,25.190001,7.981130,900
2014-06-17,25.180000,25.190001,25.180000,25.190001,7.981130,1900
2014-06-18,25.200001,25.200001,25.190001,25.190001,7.981130,600
2014-06-19,25.190001,25.190001,25.180000,25.180000,7.977959,1500
2014-06-20,25.410000,25.580000,25.180000,25.180000,7.977959,7500
2014-06-23,25.150000,25.150000,25.150000,25.150000,7.968459,2200
2014-06-24,25.250000,25.250000,25.160000,25.160000,7.971626,1700
2014-06-25,25.110001,25.139999,24.900000,25.020000,7.994952,20900
2014-06-26,24.980000,25.100000,24.980000,25.100000,8.020514,7600
2014-06-27,25.209999,25.209999,24.950001,25.100000,8.020514,1000
2014-06-30,25.100000,25.160000,25.100000,25.160000,8.039688,400
2014-07-01,25.730000,25.730000,25.170000,25.209999,8.055664,2100
2014-07-02,25.219999,25.219999,25.190001,25.190001,8.049276,1200
2014-07-03,25.400000,25.559999,25.400000,25.549999,8.164310,1700
2014-07-07,25.250000,25.389999,25.160000,25.379999,8.109983,28400
2014-07-08,25.200001,25.200001,25.150000,25.170000,8.042881,19500
2014-07-09,25.180000,25.190001,25.090000,25.190001,8.049276,103200
2014-07-10,25.150000,25.219999,25.150000,25.209999,8.055664,2900
2014-07-11,25.209999,25.230000,25.200001,25.230000,8.062053,52800
2014-07-14,25.240000,25.240000,25.139999,25.240000,8.065256,2700
2014-07-15,25.150000,25.209999,25.150000,25.190001,8.049276,46500
2014-07-16,25.219999,25.230000,25.219999,25.230000,8.062053,1100
2014-07-17,25.129999,25.190001,25.129999,25.190001,8.049276,1800
2014-07-18,25.250000,25.320000,25.150000,25.320000,8.090818,5500
2014-07-21,25.620001,25.620001,25.370001,25.370001,8.106784,900
2014-07-22,25.459999,25.459999,25.400000,25.430000,8.125960,25000
2014-07-23,25.280001,25.280001,25.280001,25.280001,8.144973,200
2014-07-24,25.230000,25.250000,25.230000,25.250000,8.135307,1100
2014-07-25,25.170000,25.170000,25.170000,25.170000,8.109537,200
2014-07-28,25.219999,25.219999,25.190001,25.219999,8.125643,4800
2014-07-29,25.250000,25.250000,25.230000,25.230000,8.128862,2100
2014-07-30,25.219999,25.219999,25.219999,25.219999,8.125643,300
2014-07-31,25.070000,25.070000,24.969999,24.969999,8.045092,2500
2014-08-01,25.000000,25.010000,24.940001,24.940001,8.035425,7000
2014-08-04,25.049999,25.049999,25.049999,25.049999,8.070868,200
2014-08-05,25.049999,25.049999,25.049999,25.049999,8.070868,0
2014-08-06,25.030001,25.030001,25.010000,25.010000,8.057979,1500
2014-08-07,25.030001,25.030001,25.030001,25.030001,8.064424,300
2014-08-08,25.049999,25.049999,25.049999,25.049999,8.070868,200
2014-08-11,25.250000,25.250000,25.230000,25.230000,8.128862,900
2014-08-12,25.180000,25.180000,25.180000,25.180000,8.112750,800
2014-08-13,25.290001,25.430000,25.290001,25.410000,8.186857,1500
2014-08-14,25.330000,25.450001,25.330000,25.440001,8.196523,7400
2014-08-15,25.379999,25.389999,25.200001,25.240000,8.132091,3500
2014-08-18,25.330000,25.410000,25.309999,25.410000,8.186857,21200
2014-08-19,25.360001,25.400000,25.350000,25.360001,8.170749,11600
2014-08-20,25.309999,25.340000,25.100000,25.170000,8.181151,79700
2014-08-21,25.219999,25.270000,25.219999,25.250000,8.207151,54500
2014-08-22,25.250000,25.250000,25.219999,25.250000,8.207151,3000
2014-08-25,25.250000,25.280001,25.250000,25.280001,8.216903,700
2014-08-26,25.299999,25.299999,25.290001,25.290001,8.220152,1700
2014-08-27,25.139999,25.299999,25.139999,25.270000,8.213651,3200
2014-08-28,25.290001,25.299999,25.290001,25.299999,8.223402,4500
2014-08-29,25.370001,25.370001,25.309999,25.309999,8.226652,1000
2014-09-02,25.450001,25.500000,25.280001,25.280001,8.216903,2500
2014-09-03,25.330000,25.340000,25.330000,25.340000,8.236406,1400
